Holdings details

S&P 500 ETF (VOO)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B3NQ4P8,Kinder Morgan Inc,KMI,0.10%,Oil & Gas Storage & Transportation,US,---,"$1,364,232,458.46","48,189,066"
,B78C4Y8,Phillips 66,PSX,0.10%,Oil & Gas Refining & Marketing,US,---,"$1,354,456,011.42","9,957,771"
,B5B2106,Fortinet Inc,FTNT,0.10%,Systems Software,US,---,"$1,349,789,378.56","16,053,632"
,2026361,Aflac Inc,AFL,0.09%,Life & Health Insurance,US,---,"$1,324,737,872.80","11,859,784"
,2749602,Roper Technologies Inc,ROP,0.09%,Application Software,US,---,"$1,322,470,525.41","2,651,889"
,2087807,Becton Dickinson & Co,BDX,0.09%,Health Care Equipment,US,---,"$1,322,044,973.46","7,063,338"
,2041364,Valero Energy Corp,VLO,0.09%,Oil & Gas Refining & Marketing,US,---,"$1,303,166,464.54","7,653,979"
,B0X7DZ3,Chipotle Mexican Grill Inc,CMG,0.09%,Restaurants,US,---,"$1,294,905,986.55","33,041,745"
,2542049,Dominion Energy Inc,D,0.09%,Multi-Utilities,US,---,"$1,286,418,373.89","21,030,217"
,BMGYYH4,Airbnb Inc,ABNB,0.09%,"Hotels, Resorts & Cruise Lines",US,---,"$1,283,660,496.56","10,572,068"
,B8K6ZD1,Workday Inc,WDAY,0.09%,Application Software,US,---,"$1,281,362,940.06","5,322,822"
,2665861,PACCAR Inc,PCAR,0.09%,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,272,334,441.68","12,940,749"
,2779201,Schlumberger NV,SLB,0.09%,Oil & Gas Equipment & Services,US,---,"$1,263,559,948.35","36,763,455"
,2142784,FedEx Corp,FDX,0.09%,Air Freight & Logistics,US,---,"$1,261,205,732.38","5,348,398"
,2459202,IDEXX Laboratories Inc,IDXX,0.09%,Health Care Equipment,US,---,"$1,258,850,967.08","1,970,372"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.09%,"Technology Hardware, Storage & Peripherals",US,---,"$1,237,379,544.06","5,241,801"
,2746711,Ross Stores Inc,ROST,0.09%,Apparel Retail,US,---,"$1,228,218,749.73","8,059,707"
,BM8JYX3,Warner Bros Discovery Inc,WBD,0.08%,Movies & Entertainment,US,---,"$1,192,171,860.18","61,043,106"
,BDHLTQ5,Baker Hughes Co,BKR,0.08%,Oil & Gas Equipment & Services,US,---,"$1,183,641,535.44","24,294,777"
,BZ07BW4,Monster Beverage Corp,MNST,0.08%,Soft Drinks & Non-alcoholic Beverages,US,---,"$1,182,405,624.77","17,566,567"
,BK4N0D7,Carrier Global Corp,CARR,0.08%,Building Products,US,---,"$1,176,938,038.50","19,714,205"
,2614807,Xcel Energy Inc,XEL,0.08%,Electric Utilities,US,---,"$1,175,641,502.00","14,577,080"
,2250687,DR Horton Inc,DHI,0.08%,Homebuilding,US,---,"$1,157,766,843.24","6,831,692"
,2615468,Ford Motor Co,F,0.08%,Automobile Manufacturers,US,---,"$1,152,068,719.36","96,326,816"
,2262530,Republic Services Inc,RSG,0.08%,Environmental & Facilities Services,US,---,"$1,147,406,884.40","5,000,030"
,B0J7D57,Ameriprise Financial Inc,AMP,0.08%,Asset Management & Custody Banks,US,---,"$1,141,494,536.25","2,323,653"
,B6WVMH3,CBRE Group Inc,CBRE,0.08%,Real Estate Services,US,---,"$1,137,921,481.32","7,222,147"
,BKT9Y49,Datadog Inc,DDOG,0.08%,Application Software,US,---,"$1,134,443,840.00","7,966,600"
,2573209,MetLife Inc,MET,0.08%,Life & Health Insurance,US,---,"$1,133,883,097.73","13,765,729"
,2130109,ONEOK Inc,OKE,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,132,481,849.16","15,519,828"
